webUrl,event_type,region,webTitle,webPublicationDate,sectionName
https://www.theguardian.com/business/2026/jan/27/national-insurance-hike-and-energy-bills-behind-food-price-rise-say-uk-retailers,none,UK,"National insurance hike and energy bills behind food price rise, say UK retailers",2026-01-27T00:01:00Z,Business
https://www.theguardian.com/science/2025/nov/26/changes-in-solar-energy-fuelled-high-speed-evolutionary-changes-study-suggests,none,other,"Changes in solar energy fuelled high speed evolutionary changes, study suggests",2025-11-26T06:00:43Z,Science
https://www.theguardian.com/environment/2025/oct/22/sydney-weather-nsw-heat-bom-forecast-wind-warnings-australia,heatwave,other,"Two dead at Melbourne beach as wild wind batters state, while parts of Sydney hit by record-breaking heat ",2025-10-22T06:50:51Z,Environment
https://www.theguardian.com/business/nils-pratley-on-finance/2026/feb/11/wake-up-labour-mps-price-of-electricity-is-crisis-for-industry-and-growth,none,UK,Wake up Labour MPs: the price of electricity is a crisis for industry and growth | Nils Pratley,2026-02-11T18:58:17Z,Business
https://www.theguardian.com/business/live/2026/feb/25/uk-energy-bills-cap-gold-price-markets-economy-obr-business-live-news-updates,none,UK,Starmer says ‘more to do’ on cost of living despite £117 fall in energy bills from April - as it happened,2026-02-25T15:02:28Z,Business
https://www.theguardian.com/technology/2025/aug/10/elon-musk-tesla-applies-to-supply-electricity-to-households-in-great-britain,none,UK,Elon Musk’s Tesla applies to supply electricity to households in Great Britain,2025-08-10T15:35:25Z,Technology
https://www.theguardian.com/environment/2025/sep/10/south-dakota-solar-energy,none,other,"Misinformation, fear and politics – how a South Dakota county drove away millions in solar energy",2025-09-10T12:00:03Z,Environment
https://www.theguardian.com/us-news/2026/mar/23/first-thing-iran-war-energy-crisis-equal-70s-oil-shocks-ukraine-invasion-fallout-iea-chief-says,none,other,"Iran war energy crisis equal to 70s twin oil shocks and Ukraine invasion fallout, says IEA chief | First Thing",2026-03-23T14:16:32Z,US news
https://www.theguardian.com/us-news/2025/oct/31/us-electricity-bills-increased-trump,none,other,"US electricity bills increased by 11% in Trump’s second term, data shows",2025-10-31T17:49:55Z,US news
https://www.theguardian.com/money/2026/apr/21/uk-electricity-prices-gas-energy-bills,none,UK,Why are UK electricity prices linked to gas – and what does it mean for bills?,2026-04-21T16:18:11Z,Money
https://www.theguardian.com/technology/2025/oct/06/openai-meta-elon-musk-techscape,none,other,"OpenAI throws caution to the wind, and a year of covering Elon Musk",2025-10-07T16:12:43Z,Technology
https://www.theguardian.com/money/2026/apr/13/middle-east-war-uk-households-poorer-this-year-resolution-foundation-thinktank,none,UK,Tory ex-chancellor Jeremy Hunt proposes ‘social tariff’ to help less well-off with energy bills,2026-04-13T09:51:44Z,Money
https://www.theguardian.com/environment/2026/jun/10/public-procurement-electricity-could-save-households,none,UK,"Households could save £200 on energy bills in plan to break link between gas and electricity prices, says thinktank",2026-06-10T06:00:13Z,Environment
https://www.theguardian.com/money/2025/sep/10/rise-in-energy-prices-leaves-1m-uk-households-behind-on-bills,none,UK,Rise in energy prices leaves 1m UK households behind on bills,2025-09-10T04:01:00Z,Money
https://www.theguardian.com/us-news/2026/may/02/solar-midwest-energy-crisis,none,other,Solar booms in industrial US midwest as energy crisis persists,2026-05-02T16:00:29Z,US news
https://www.theguardian.com/australia-news/2025/nov/17/are-australians-really-paying-more-for-electricity-than-other-countries,none,other,Are Australians really paying more for electricity than other countries? ,2025-11-16T14:00:34Z,Australia news
https://www.theguardian.com/money/2026/jun/13/how-doing-a-wash-while-you-watch-the-world-cup-at-2am-could-cut-energy-bills,none,UK,How doing a wash while you watch the World Cup at 2am could cut energy bills,2026-06-13T06:00:07Z,Money
https://www.theguardian.com/environment/2025/aug/21/solar-panels-in-space-could-provide-80-of-europes-renewable-energy-by-2050,none,Europe,Solar panels in space ‘could provide 80% of Europe’s renewable energy by 2050’,2025-08-21T15:00:06Z,Environment
https://www.theguardian.com/money/2026/jun/16/retail-giants-join-uk-government-drive-to-boost-plug-in-balcony-solar-panels,none,UK,Retail giants join UK government drive to boost ‘plug-in’ balcony solar panels,2026-06-16T14:01:36Z,Money
https://www.theguardian.com/environment/2026/jul/07/low-cost-loans-for-solar-panels-could-save-households-hundreds-on-bills-thinktanks,none,UK,Low-cost loans for solar panels could save households hundreds on bills – thinktanks,2026-07-07T09:00:36Z,Environment
https://www.theguardian.com/world/2026/mar/13/ukraine-war-briefing-putin-envoy-says-us-better-understands-importance-of-russian-oil-amid-energy-crisis,none,other,Ukraine war briefing: Putin envoy says US better understands importance of Russian oil amid energy crisis,2026-03-13T01:29:13Z,World news
https://www.theguardian.com/business/2026/mar/25/iran-war-strait-of-hormuz-shipping-delays-windfarm-projects-europe,none,Europe,Iran war threatens to delay large offshore wind projects in EU and UK,2026-03-25T15:17:17Z,Business
https://www.theguardian.com/world/2026/jan/11/ukraine-war-briefing-kyiv-struggles-to-stablise-ruined-power-grid-after-major-russian-attack,none,other,Ukraine war briefing: Kyiv struggles to stabilise ruined power grid after major Russian attack,2026-01-11T02:38:19Z,World news
https://www.theguardian.com/technology/2026/jan/13/trump-microsoft-data-centers-electricity,none,other,Trump says Microsoft will pay more for its datacenters’ electricity,2026-01-13T22:09:02Z,Technology
https://www.theguardian.com/environment/2025/nov/02/energy-prices-falling-electricity-cheaper-households,none,other,Australian wholesale electricity prices are falling. So when will power bills stop rising?,2025-11-01T19:00:43Z,Environment
https://www.theguardian.com/politics/2026/mar/24/rachel-reeves-rules-out-universal-support-energy-bills,none,UK,Rachel Reeves rules out universal support on energy bills,2026-03-24T15:18:22Z,Politics
https://www.theguardian.com/environment/2025/sep/12/offshore-wind-australia-energy-transition-so-why-mass-exodus-from-investors,none,other,Offshore wind was touted as a key part of Australia’s energy transition – but does it still have a future?,2025-09-12T00:00:20Z,Environment
https://www.theguardian.com/film/2026/jan/05/dreams-travel-with-the-wind-review-communing-with-the-spirits-to-preserve-indigenous-culture-in-colombia,none,other,Dreams Travel With the Wind review – communing with the spirits to preserve Indigenous culture in Colombia,2026-01-05T07:00:30Z,Film
https://www.theguardian.com/environment/2026/may/29/farm-bill-solar-projects-farming,none,other,Solar energy helps US farms stay afloat – but Republicans’ bill could change that,2026-05-29T15:00:55Z,Environment
https://www.theguardian.com/music/2026/jun/18/michael-cloud-duguay-album-church-organs,none,other,‘A sacred kind of sound’: inside a solar-powered journey to preserve the music of church organs,2026-06-18T09:00:01Z,Music
https://www.theguardian.com/australia-news/2025/dec/16/electricity-generation-costs-third-lower-82-renewable-grid,none,other,"Electricity generation costs would be a third lower with 82% renewable grid, CSIRO says",2025-12-16T14:00:06Z,Australia news
https://www.theguardian.com/politics/live/2026/apr/10/starmer-trump-putin-iran-war-farage-reform-latest-news-updates,none,UK,Starmer implies he didn’t tell Trump he was ‘fed up’ about his impact on rising UK energy bills – as it happened ,2026-04-10T15:30:42Z,Politics
https://www.theguardian.com/business/2025/dec/08/zombie-electricity-projects-britain-face-axe-grid-connections-net-zero,none,UK,‘Zombie’ electricity projects in Britain face axe to ease quicker grid connections,2025-12-08T06:00:44Z,Business
https://www.theguardian.com/world/2025/sep/30/afghanistan-mobile-phones-internet-telecoms-blackout-taliban,none,other,Afghanistan ‘blind without phones and internet’ on second day of telecoms blackout,2025-09-30T12:16:07Z,World news
https://www.theguardian.com/world/2026/jan/08/iran-plunged-into-internet-blackout-as-protests-over-economy-spread-nationwide,none,other,Iran plunged into internet blackout as protests over economy spread nationwide,2026-01-08T19:42:10Z,World news
https://www.theguardian.com/books/2025/dec/29/poem-of-the-week-the-man-in-the-wind-by-anne-stevenson,none,other,Poem of the week: The Man in the Wind by Anne Stevenson,2025-12-29T10:35:12Z,Books
https://www.theguardian.com/us-news/2026/jan/17/trump-energy-bill-prices-increase,none,other,How Trump’s promise to slash energy bills in half has failed across the US,2026-01-17T15:00:29Z,US news
https://www.theguardian.com/news/2025/dec/05/weather-watch-everyday-phrases-nautical-expressions-wind-language,none,other,‘Three sheets to the wind’: how everyday phrases blew in from the sea,2025-12-05T06:00:42Z,News
https://www.theguardian.com/australia-news/2026/mar/03/oil-gas-lng-prices-iran-war-middle-east-conflict-bills-australia-ntwnfb,none,other,Australian energy bills could surge as Iran conflict drives up global gas prices,2026-03-03T14:00:05Z,Australia news
https://www.theguardian.com/us-news/2026/apr/28/trump-administration-wind-projects,none,other,Trump administration blocks US wind energy projects in switch to oil and gas,2026-04-28T21:37:43Z,US news
https://www.theguardian.com/world/2026/feb/02/ukraine-war-briefing-kyiv-reschedules-peace-talks-battered-power-grid-strains-cold-snaps,none,other,Ukraine war briefing: Kyiv reschedules peace talks as battered power grid strains in -15C,2026-02-02T01:27:43Z,World news
https://www.theguardian.com/environment/2026/apr/26/why-biomethane-is-not-the-solution-to-britains-gas-supply-issues,none,UK,Why biomethane is not the solution to Britain’s gas supply issues | Letter,2026-04-26T15:46:47Z,Environment
https://www.theguardian.com/money/2026/mar/04/iran-conflict-energy-bills-gas-prices,none,UK,Energy bills could rise by £160 after Iran conflict pushes gas prices higher,2026-03-04T17:46:11Z,Money
https://www.theguardian.com/environment/2025/dec/15/we-must-not-stop-research-on-solar-geoengineering,none,other,We must not stop research on solar geoengineering | Letters,2025-12-15T18:03:04Z,Environment
https://www.theguardian.com/society/2026/mar/20/peter-coates-death-coroner-ambulance-delays-power-cut,none,UK,"Ambulance delays during power cut possibly contributed to man’s death, coroner rules",2026-03-20T15:41:42Z,Society
https://www.theguardian.com/world/2026/jun/09/worlds-first-wind-powered-underwater-datacentre-starts-operating-in-china,none,other,World’s first wind-powered underwater datacentre starts operating in China,2026-06-09T05:00:45Z,World news
https://www.theguardian.com/business/live/2026/mar/04/war-middle-east-uk-living-standards-growth-markets-energy-shock-live-news-updates,none,UK,"UK motor fuel prices rise since Middle East conflict began, and energy bills could jump 10% in July – as it happened",2026-03-04T16:05:26Z,Business
https://www.theguardian.com/lifeandstyle/2025/aug/02/can-bears-swing-upside-down-and-what-colour-is-electricity-the-kids-quiz,none,other,Can bears swing upside down and what colour is electricity? The kids’ quiz,2025-08-02T06:00:04Z,Life and style
https://www.theguardian.com/world/2026/mar/19/leo-varadkar-lgbtq-rights-in-europe-face-chill-wind-from-east-and-west,none,Europe,Leo Varadkar: LGBTQ+ rights in Europe face ‘chill wind’ from east and west,2026-03-19T07:00:02Z,World news
https://www.theguardian.com/environment/2025/oct/14/ed-miliband-approves-uk-biggest-solar-farm-at-lincolnshire-site,none,UK,Ed Miliband approves UK’s biggest solar farm at Lincolnshire site,2025-10-14T15:25:12Z,Environment
https://www.theguardian.com/business/2026/apr/26/more-than-oil-prices-iran-war-threatens-to-reshape-global-energy-order,none,other,The great energy pivot: US oil and Chinese solar are the winners in Trump’s war on Iran,2026-04-26T11:00:12Z,Business
https://www.theguardian.com/us-news/2025/oct/19/georgia-electricity-datacenters,none,other,Fears over higher rates as Georgia moves to provide more electricity for AI datacenters,2025-10-19T12:00:13Z,US news
https://www.theguardian.com/environment/2025/aug/11/orsted-wind-generator-shares-sink-9bn-cash-call,none,other,Wind generator Ørsted blames Trump as shares sink to all-time low,2025-08-11T11:46:24Z,Business
https://www.theguardian.com/us-news/2026/may/26/south-carolina-woman-dies-umbrella-accident,none,other,US woman killed after wind-blown umbrella strikes her neck at restaurant,2026-05-26T16:51:25Z,US news
https://www.theguardian.com/business/2026/jun/30/great-britain-electricity-network-90bn-pounds-2030s,none,UK,Cost to rewire Great Britain’s electricity network could reach £90bn in 2030s,2026-06-30T06:00:42Z,Business
https://www.theguardian.com/us-news/2025/aug/19/electricity-bills-increase-trump,none,other,Trump tariffs and green energy rollbacks push household electricity bills up 10%,2025-08-19T22:12:53Z,US news
https://www.theguardian.com/money/2025/nov/21/energy-price-cap-great-britain-rise-january-fuel,none,UK,Households in Great Britain face surprise rise in energy bills from January,2025-11-21T12:14:51Z,Money
https://www.theguardian.com/environment/2025/oct/16/what-the-data-center-boom-means-for-americas-environment-and-electricity-bills,none,other,What the datacenter boom means for America’s environment – and electricity bills,2025-10-17T06:00:04Z,Environment
https://www.theguardian.com/environment/2026/mar/02/datacentres-australia-power-prices-water-supply-emissions,none,other,"How will datacentres affect Australia’s power prices, water supply and emissions? ",2026-03-01T14:00:45Z,Environment
https://www.theguardian.com/australia-news/2026/mar/26/tropical-cyclone-narelle-storm-flooding-wa-western-australia,storm,other,Tropical Cyclone Narelle forecast to pummel remote WA towns with wind gusts of up to 275km/h,2026-03-26T15:02:25Z,Australia news
https://www.theguardian.com/business/2025/dec/09/ofgem-investment-uk-electricity-superhighways,none,UK,Ofgem approves early investment in three UK electricity ‘superhighways’,2025-12-09T18:03:52Z,Business
https://www.theguardian.com/news/2025/oct/23/weatherwatch-myths-behind-the-capricious-god-of-the-north-wind-boreas,none,other,Weatherwatch: Myths behind the capricious god of the north wind,2025-10-23T05:00:59Z,News
https://www.theguardian.com/business/2026/apr/17/rachel-reeves-to-raise-windfall-tax-on-low-carbon-electricity-generators,none,UK,Rachel Reeves to raise windfall tax on low-carbon electricity generators,2026-04-17T17:48:02Z,Business
https://www.theguardian.com/business/2026/jan/22/minnesota-economic-blackout-ice,none,other,‘We have to stand together’: Minnesota economic blackout organizers push to take demonstrations nationwide,2026-01-22T18:00:52Z,Business
https://www.theguardian.com/business/nils-pratley-on-finance/2025/nov/20/industry-cant-wait-any-longer-for-a-fix-to-its-energy-crisis-ministers-should-get-a-move-on,none,UK,Industry can’t wait any longer for a fix to its energy crisis. Ministers should get a move on | Nils Pratley,2025-11-20T17:55:54Z,Business
https://www.theguardian.com/us-news/2026/jan/20/ice-immigrarion-minnesota-economic-protest,none,other,Economic blackout day planned in Minnesota to protest ICE surge,2026-01-20T11:00:02Z,US news
https://www.theguardian.com/global-development/2026/jan/10/film-makers-iran-protest-internet-blackout-repression,none,other,Iranian cultural figures condemn internet blackout as ‘blatant tool of repression’ ,2026-01-10T14:35:33Z,World news
https://www.theguardian.com/business/2026/may/18/uk-datacentres-plan-to-burn-gas-to-generate-electricity,none,UK,More than 100 UK datacentres plan to burn gas to generate electricity,2026-05-18T04:00:59Z,Business
https://www.theguardian.com/us-news/2026/apr/20/elaine-luria-virginia-house-democrats-midterms,none,other,"Elaine Luria, January 6 panel member seeking political comeback, says ‘the wind is on our back’ as Democrats try to flip House",2026-04-20T10:00:53Z,US news
https://www.theguardian.com/lifeandstyle/2026/jul/12/readers-reply-why-put-solar-panels-on-green-space-when-we-could-put-them-over-car-parks,none,UK,Readers reply: Why put solar panels on green space when we could put them over car parks?,2026-07-12T13:00:19Z,Life and style
https://www.theguardian.com/world/2026/mar/20/us-considering-occupying-iran-kharg-island-hormuz-strait-trump,none,other,Trump hints at wind down of war as US prepares to send more troops to Gulf,2026-03-21T07:44:11Z,World news
https://www.theguardian.com/lifeandstyle/2026/jul/05/why-put-solar-panels-on-green-space-when-we-could-put-them-over-car-parks,none,UK,Why put solar panels on green space when we could put them over car parks?,2026-07-05T13:00:27Z,Life and style
https://www.theguardian.com/business/live/2025/aug/27/energy-price-cap-rise-trump-tariff-india-business-live-news,none,UK,"Annual energy bills set to rise £35 in October, Trump slaps 50% tariff on India – as it happened",2025-08-27T14:14:47Z,Business
https://www.theguardian.com/business/live/2026/may/20/uk-inflation-eases-lower-electricity-gas-bills-iran-war-business-latest-news-updates,none,UK,"UK inflation eases more than expected to 2.8%, led by lower electricity and gas bills – as it happened",2026-05-20T14:40:35Z,Business
https://www.theguardian.com/business/2025/dec/30/eurostar-trains-cancelled-delayed-channel-tunnel-le-shuttle,none,Europe,Channel tunnel power outage disrupts thousands of journeys ,2025-12-30T18:13:42Z,Business
https://www.theguardian.com/football/2026/apr/12/wasted-weekend-international-break-womens-super-league-football,none,UK,Wasted weekend takes wind out of WSL’s sails … and get ready for more ,2026-04-12T07:00:11Z,Football
https://www.theguardian.com/australia-news/live/2026/jan/09/australia-news-live-victoria-catastrophic-bushfire-fire-ban-heatwave-tropical-cyclone-floods-royal-commission-antisemitism-bondi-anthony-albanese-ntwnfb,none,other,Black Saturday-affected towns told to leave before predicted wind change causes ‘dangerous’ fire conditions – as it happened,2026-01-09T07:10:55Z,Australia news
https://www.theguardian.com/business/2026/mar/15/energy-price-surge-britain-chemical-plant-risk-huntsman,none,UK,One of Britain’s last major chemical plants at risk as energy prices surge,2026-03-15T10:00:21Z,Business
https://www.theguardian.com/world/2026/mar/06/iran-war-us-india-russian-oil-prices-jump-israel-strikes-hezbollah-news-updates,none,other,Iran war briefing: US lets India buy Russian oil after energy prices jump,2026-03-06T23:33:57Z,World news
https://www.theguardian.com/politics/2025/sep/17/privatisation-premium-billions-from-uk-energy-bills-paid-to-shareholders,none,UK,‘Privatisation premium’: billions from UK energy bills paid to shareholders ,2025-09-17T14:52:03Z,Politics
https://www.theguardian.com/technology/2026/feb/23/new-datacentres-risk-doubling-uk-electricity-use-ofgem-peak-demand,none,UK,"New datacentres risk doubling Great Britain’s electricity use, regulator says",2026-02-23T18:17:28Z,Technology
https://www.theguardian.com/australia-news/2025/nov/20/artificial-intelligence-data-centre-australia-solar-farm-possibly-unparalleled,none,other,‘Gobsmacking’ solar farm that could power AI datacentres ‘possibly unparalleled’ in Australia or world ,2025-11-20T14:00:12Z,Australia news
https://www.theguardian.com/stage/2026/feb/20/the-boy-who-harnessed-the-wind-review-malawi-swan-theatre-stratford-upon-avon-william-kamkwamba,none,other,The Boy Who Harnessed the Wind review – Malawian boy’s amazing famine-beating creation inspires a rousing musical,2026-02-20T15:04:32Z,Stage
https://www.theguardian.com/us-news/2025/dec/22/trump-wind-farms,none,other,Trump officials halt offshore wind-farm projects over ‘national security risks’,2025-12-22T16:16:03Z,US news
https://www.theguardian.com/money/2026/mar/31/energy-bills-great-britain-forecast-summer,none,UK,"Energy bills in Great Britain forecast to hit almost £2,000 a year this summer",2026-03-31T14:17:51Z,Money
https://www.theguardian.com/environment/2026/may/10/australia-renewable-energy-subsidies-solar-panels-ev-home-batteries,none,other,"The global energy shock is driving people to EVs, solar and batteries. What renewables subsidies are available in Australia?",2026-05-09T20:00:06Z,Environment
